No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
125,DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals,USA,41.08B,-,78.13,1.10%,"2,172,600"
126,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA,114.92B,34.03,372.12,-0.54%,"1,554,553"
127,DFS,Discover Financial Services,Financial,Credit Services,USA,29.47B,27.11,97.20,2.33%,"1,544,321"
128,DG,Dollar General Corporation,Consumer Defensive,Discount Stores,USA,47.16B,19.07,202.40,-0.11%,"2,058,065"
129,DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,USA,17.00B,12.38,129.44,0.86%,"1,046,030"
130,DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,USA,31.71B,12.30,91.05,2.17%,"2,420,438"
131,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,154.93B,46.16,225.08,0.00%,"1,699,263"
132,DIS,The Walt Disney Company,Communication Services,Entertainment,USA,344.86B,-,188.97,2.41%,"7,666,872"
133,DISCA,"Discovery, Inc.",Communication Services,Entertainment,USA,26.91B,23.91,43.31,-0.35%,"16,330,745"
134,DISCK,"Discovery, Inc.",Communication Services,Entertainment,USA,-,26.13,37.08,0.52%,"6,292,819"
135,DISH,DISH Network Corporation,Communication Services,Entertainment,USA,19.43B,12.23,36.80,1.66%,"2,770,339"
136,DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Office,USA,38.99B,127.79,143.25,1.71%,"1,334,046"
137,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,26.28B,20.48,115.93,1.28%,"1,504,345"
138,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,USA,19.53B,29.35,137.93,0.58%,"498,288"
139,DOW,Dow Inc.,Basic Materials,Chemicals,USA,47.58B,39.83,64.60,1.03%,"3,664,588"
140,DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,USA,14.32B,30.11,373.38,1.52%,"549,236"
161,EQR,Equity Residential,Real Estate,REIT - Residential,USA,26.81B,29.34,72.51,1.23%,"1,744,273"
162,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,29.74B,24.37,86.47,-0.14%,"770,987"
163,ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,USA,17.56B,31.98,276.49,1.71%,"550,457"
164,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,54.42B,40.03,139.49,0.88%,"2,377,001"
165,ETR,Entergy Corporation,Utilities,Utilities - Diversified,USA,19.95B,14.43,99.64,0.17%,"824,612"
166,ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,USA,25.45B,81.46,208.20,3.24%,"1,767,225"
167,EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,USA,13.76B,22.05,59.93,0.67%,"1,178,774"
168,EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,USA,51.25B,64.94,83.84,0.24%,"2,385,535"
169,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,42.73B,21.86,43.91,0.39%,"3,892,905"
170,EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,USA,17.61B,26.69,108.76,0.99%,"852,606"
171,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,25.05B,-,175.93,2.21%,"2,797,241"
172,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,17.79B,36.65,135.45,2.19%,"1,114,654"
173,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,47.64B,-,12.17,-0.65%,"61,584,650"
174,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,13.46B,-,81.22,10.52%,"4,635,861"
175,FAST,Fastenal Company,Industrials,Industrial Distribution,USA,28.58B,34.26,51.11,1.65%,"2,939,308"
176,FB,"Facebook, Inc.",Communication Services,Internet Content & Information,USA,837.62B,29.61,298.66,1.40%,"17,493,868"
